"id","name","n.row","n.col","ratio.ano","class.ano","class.nor"
1,"waveform",3353,22,0.49,"0","2"
2,"WBC",454,10,0.02,"yes","no"
3,"breast cancer",569,31,0.37,"M","B"
4,"Letter",1581,17,0.5,"M","A"
5,"Gamma",19020,11,0.35,"h","g"
6,"wine",4898,12,0.01,"3 9","4-8"
7,"pageBlocks",4941,11,0.01,"3","1"
8,"Stamps",315,10,0.02,"yes","no"
9,"wilt",4839,6,0.05,"w","n"
10,"pima",768,9,0.35,"yes","no"
11,"glass",214,10,0.04,"6","1 2 3 4 5 7"
12,"HeartDisease",297,14,0.16,"2 4","0 1 3"
13,"ionosphere",351,33,0.36,"yes","no"
14,"PenDigits",10992,17,0.1,"0","1-9"
15,"Cardiotocography",1831,23,0.1,"3","1"
16,"leaf",340,16,0.03,"36","1-35"
17,"biodegradation",1055,42,0.66,"NRB","RB"
18,"parkinson",195,23,0.25,"0","1"
19,"spambase",4601,58,0.39,"1","0"
20,"libras movement",360,91,0.07,"1","2-15"
24,"arrhythmia",343,275,0.01,"14","1 2 10"
25,"wbpc",198,31,0.24,"R","N"
26,"mnist",2008,785,0.49,"0","7"
32,"ads",2359,1559,0.16,"ad.","nonad."
33,"secom",1567,591,0.07,"1","-1"
34,"CalTech16",829,257,0.04,"53","1"
35,"aid362",4279,145,0.01,"Active","Inactive"
36,"backdoor",57746,190,0.03,"Backdoor","Normal"
37,"calTech28",863,785,0.08,"34","1"
38,"bank",4521,52,0.12,"yes","no"
39,"census",47391,386,0.06,"high","low"
40,"fashion",2000,785,0.5,"0","1"
